category	title	author	work_key
fiction_classic	Pride and Prejudice	Austen	
fiction_classic	Jane Eyre	Brontë	
fiction_classic	Wuthering Heights	Brontë	
fiction_classic	Moby-Dick	Melville	
fiction_classic	The Great Gatsby	Fitzgerald	
fiction_classic	To Kill a Mockingbird	Lee	
fiction_classic	1984	Orwell	
fiction_classic	Nineteen Eighty-Four	Orwell	
fiction_classic	Animal Farm	Orwell	
fiction_classic	The Catcher in the Rye	Salinger	
fiction_classic	The Lord of the Rings	Tolkien	
fiction_classic	The Hobbit	Tolkien	
fiction_classic	The Fellowship of the Ring	Tolkien	
fiction_classic	The Two Towers	Tolkien	
fiction_classic	The Return of the King	Tolkien	
fiction_classic	Don Quixote	Cervantes	
fiction_classic	Crime and Punishment	Dostoevsky	
fiction_classic	The Brothers Karamazov	Dostoevsky	
fiction_classic	War and Peace	Tolstoy	
fiction_classic	Anna Karenina	Tolstoy	
fiction_classic	Madame Bovary	Flaubert	
fiction_classic	Les Misérables	Hugo	
fiction_classic	The Count of Monte Cristo	Dumas	
fiction_classic	Frankenstein	Shelley	
fiction_classic	Dracula	Stoker	
fiction_classic	The Picture of Dorian Gray	Wilde	
fiction_classic	Brave New World	Huxley	
fiction_classic	The Handmaid's Tale	Atwood	
fiction_classic	One Hundred Years of Solitude	García Márquez	
fiction_classic	Love in the Time of Cholera	García Márquez	
fiction_classic	The Stranger	Camus	
fiction_classic	The Plague	Camus	
fiction_classic	The Metamorphosis	Kafka	
fiction_classic	The Trial	Kafka	
fiction_classic	The Castle	Kafka	
fiction_classic	Ulysses	Joyce	
fiction_classic	A Portrait of the Artist as a Young Man	Joyce	
fiction_classic	Dubliners	Joyce	
fiction_classic	Middlemarch	Eliot	
fiction_classic	Silas Marner	Eliot	
fiction_classic	Great Expectations	Dickens	
fiction_classic	A Tale of Two Cities	Dickens	
fiction_classic	Oliver Twist	Dickens	
fiction_classic	David Copperfield	Dickens	
fiction_classic	Bleak House	Dickens	
fiction_classic	The Adventures of Huckleberry Finn	Twain	
fiction_classic	The Adventures of Tom Sawyer	Twain	
fiction_classic	The Scarlet Letter	Hawthorne	
fiction_classic	Moby Dick	Melville	
fiction_classic	The Sound and the Fury	Faulkner	
fiction_classic	As I Lay Dying	Faulkner	
fiction_classic	The Grapes of Wrath	Steinbeck	
fiction_classic	Of Mice and Men	Steinbeck	
fiction_classic	East of Eden	Steinbeck	
fiction_classic	The Old Man and the Sea	Hemingway	
fiction_classic	A Farewell to Arms	Hemingway	
fiction_classic	For Whom the Bell Tolls	Hemingway	
fiction_classic	The Sun Also Rises	Hemingway	
fiction_classic	Slaughterhouse-Five	Vonnegut	
fiction_classic	Cat's Cradle	Vonnegut	
fiction_classic	Catch-22	Heller	
fiction_classic	Heart of Darkness	Conrad	
fiction_classic	Lord of the Flies	Golding	
fiction_classic	The Bell Jar	Plath	
fiction_classic	Beloved	Morrison	
fiction_classic	Song of Solomon	Morrison	
fiction_classic	The Color Purple	Walker	
fiction_classic	Their Eyes Were Watching God	Hurston	
fiction_classic	Invisible Man	Ellison	
fiction_classic	Native Son	Wright	
fiction_classic	Things Fall Apart	Achebe	
fiction_classic	One Flew Over the Cuckoo's Nest	Kesey	
fiction_classic	The Shining	King	
fiction_classic	It	King	
fiction_classic	The Stand	King	
fiction_classic	Dune	Herbert	
fiction_classic	Neuromancer	Gibson	
